	Common Settings,	
	.Source/Sweep Points,	101
	.Stepper,	base
	.Stepper Points,	5
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	base
	..Instrument,	New Top 2450
	...Model,	2450
	...Serial Number,	01419964
	..Source Settings,	
	...Mode,	DC
	...Function,	Current Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	5E-05
	...Stop,	0.0004
	...Step,	8.75E-05
	...Limit,	20
	..Measure Settings,	
	...Current,	Measured
	...Voltage,	False
	...Range,	Auto
	...Minimum Range,	0.02
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.Channel,	collector
	..Instrument,	Bottom 2450
	...Model,	2450
	...Serial Number,	01419958
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	4
	...Step,	0.04
	...Limit,	1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-08
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Front
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","base = 5E-05Abase Time (s)","base = 5E-05Abase Current (A)","base = 5E-05Acollector Voltage (V)","base = 5E-05Acollector Current (A)","base = 0.0001375Abase Time (s)","base = 0.0001375Abase Current (A)","base = 0.0001375Acollector Voltage (V)","base = 0.0001375Acollector Current (A)","base = 0.000225Abase Time (s)","base = 0.000225Abase Current (A)","base = 0.000225Acollector Voltage (V)","base = 0.000225Acollector Current (A)","base = 0.0003125Abase Time (s)","base = 0.0003125Abase Current (A)","base = 0.0003125Acollector Voltage (V)","base = 0.0003125Acollector Current (A)","base = 0.0004Abase Time (s)","base = 0.0004Abase Current (A)","base = 0.0004Acollector Voltage (V)","base = 0.0004Acollector Current (A)"
"39","3.6762828","4.99996785947587E-05","1.51470923423767","0.00843322835862637","13.71592148","0.000137495822855271","1.52108204364777","0.0219364501535892","22.95991008","0.000224995063035749","1.51997637748718","0.0352876670658588","32.19189142","0.000312492338707671","1.51997327804565","0.0434484258294106","41.42703676","0.000399989483412355","1.51997137069702","0.0496555157005787"
"40","3.75055614","4.99996749567799E-05","1.55460619926453","0.00843936763703823","13.79017704","0.000137495924718678","1.56126976013184","0.0218162424862385","23.03418424","0.000224995063035749","1.5599547624588","0.0354750975966454","32.26616218","0.000312492164084688","1.55995118618011","0.0437708348035812","41.50131122","0.000399989337893203","1.55995094776154","0.0500305891036987"
"41","3.82481894","4.99996640428435E-05","1.5945497751236","0.0084449602290988","13.86445608","0.000137495924718678","1.6014107465744","0.0216967202723026","23.10846462","0.000224995048483834","1.59996092319489","0.0356510281562805","32.3404362","0.000312492455122992","1.59995758533478","0.0440866500139236","41.5755838","0.000399989308789372","1.59995555877686","0.0504008010029793"
"42","3.89908978","4.99997004226316E-05","1.63450336456299","0.00845003966242075","13.93871326","0.00013749607023783","1.64142382144928","0.0215794797986746","23.18276216","0.000224995106691495","1.63995814323425","0.035816315561533","32.41472172","0.000312492455122992","1.63995623588562","0.0443951822817326","41.64984452","0.000399989075958729","1.63995468616486","0.0507662147283554"
"43","3.97335878","4.99996895086952E-05","1.67447352409363","0.00845462642610073","14.01299818","0.000137495924718678","1.68127143383026","0.0214673355221748","23.25704176","0.000224995310418308","1.67996311187744","0.0359709225594997","32.48900662","0.000312491902150214","1.67996084690094","0.0446963347494602","41.72412336","0.000399989687139168","1.67995846271515","0.051126591861248"
"44","4.04762228","4.99996567668859E-05","1.71445417404175","0.00845876336097717","14.08726996","0.000137496026582085","1.72090756893158","0.0213613584637642","23.33131656","0.000224995383177884","1.71996665000916","0.0361156091094017","32.56327354","0.000312491873046383","1.71996462345123","0.0449898764491081","41.79839746","0.000399989075958729","1.71996200084686","0.0514823012053967"
"45","4.1218897","4.99996713188011E-05","1.75445008277893","0.00846256036311388","14.16153966","0.000137496550451033","1.76031959056854","0.0212656054645777","23.4055968","0.000224995004828088","1.75997722148895","0.0362509042024612","32.63756058","0.000312491989461705","1.75997412204742","0.0452755317091942","41.87266982","0.000399989337893203","1.75997233390808","0.0518333092331886"
"46","4.19615052","4.99996494909283E-05","1.79441165924072","0.00846610311418772","14.23581314","0.000137496128445491","1.79946339130402","0.0211832392960787","23.47988058","0.000224995223106816","1.7999449968338","0.0363768935203552","32.71185232","0.00031249230960384","1.79994070529938","0.0455527864396572","41.94695636","0.000399989337893203","1.79993832111359","0.0521789863705635"
"47","4.27041804","4.99996313010342E-05","1.83441376686096","0.00846938043832779","14.310084","0.000137496055685915","1.83844459056854","0.0211159996688366","23.55416284","0.000224994771997444","1.83995223045349","0.0364945232868195","32.78612936","0.000312492164084688","1.83994674682617","0.0458219759166241","42.02122708","0.000399989250581712","1.8399441242218","0.0525199957191944"
"48","4.3447125","4.99996640428435E-05","1.87441396713257","0.00847256556153297","14.38434818","0.000137496201205067","1.87727653980255","0.0210640821605921","23.6284335","0.000224995514145121","1.87995576858521","0.0366041250526905","32.86040072","0.000312492076773196","1.87995207309723","0.0460828952491283","42.09550192","0.000399989890865982","1.87994849681854","0.0528561063110828"
